# t_delta (frames) = 2ps
          # r (Angstrom)        Gs(r,t)_mean         Gs(r,t)_std
               8.27500000          0.00000000          0.00000000
               8.32500000          0.00000000          0.00000000
               8.37500000          0.00000000          0.00000000
               8.42500000          0.00000000          0.00000000
               8.47500000          0.00000000          0.00000000
               8.52500000          0.00000000          0.00000000
               8.57500000          0.00000000          0.00000000
               8.62500000          0.00000000          0.00000000
               8.67500000          0.00000000          0.00000000
               8.72500000          0.00000000          0.00000000
               8.77500000          0.00000000          0.00000000
               8.82500000          0.00000000          0.00000000
               8.87500000          0.00000000          0.00000000
               8.92500000          0.00000000          0.00000000
               8.97500000          0.00000000          0.00000000
               9.02500000          0.00000000          0.00000000
               9.07500000          0.00000000          0.00000000
               9.12500000          0.00000000          0.00000000
               9.17500000          0.00000000          0.00000000
               9.22500000          0.00000000          0.00000000
               9.27500000          0.00000000          0.00000000
               9.32500000          0.00000000          0.00000000
               9.37500000          0.00000000          0.00000000
               9.42500000          0.00000000          0.00000000
               9.47500000          0.00000000          0.00000000
               9.52500000          0.00000000          0.00000000
               9.57500000          0.00000000          0.00000000
               9.62500000          0.00000000          0.00000000
               9.67500000          0.00000000          0.00000000
               9.72500000          0.00000000          0.00000000
               9.77500000          0.00000000          0.00000000
               9.82500000          0.00000000          0.00000000
               9.87500000          0.00000000          0.00000000
               9.92500000          0.00000000          0.00000000
               9.97500000          0.00000000          0.00000000
              10.02500000          0.00000000          0.00000000
              10.07500000          0.00000000          0.00000000
              10.12500000          0.00000000          0.00000000
              10.17500000          0.00000000          0.00000000
              10.22500000          0.00000000          0.00000000
              10.27500000          0.00000000          0.00000000
              10.32500000          0.00000000          0.00000000
              10.37500000          0.00000000          0.00000000
              10.42500000          0.00000000          0.00000000
              10.47500000          0.00000000          0.00000000
              10.52500000          0.00000000          0.00000000
              10.57500000          0.00000000          0.00000000
              10.62500000          0.00000000          0.00000000
              10.67500000          0.00000000          0.00000000
              10.72500000          0.00000000          0.00000000
              10.77500000          0.00000000          0.00000000
              10.82500000          0.00000000          0.00000000
              10.87500000          0.00000000          0.00000000
              10.92500000          0.00000000          0.00000000
              10.97500000          0.00000000          0.00000000
              11.02500000          0.00000000          0.00000000
              11.07500000          0.00000000          0.00000000
              11.12500000          0.00000000          0.00000000
              11.17500000          0.00000000          0.00000000
              11.22500000          0.00000000          0.00000000
              11.27500000          0.00000000          0.00000000
              11.32500000          0.00000000          0.00000000
              11.37500000          0.00000000          0.00000000
              11.42500000          0.00000000          0.00000000
              11.47500000          0.00000000          0.00000000
              11.52500000          0.00000000          0.00000000
              11.57500000          0.00000000          0.00000000
              11.62500000          0.00000000          0.00000000
              11.67500000          0.00000000          0.00000000
              11.72500000          0.00000000          0.00000000
              11.77500000          0.00000000          0.00000000
              11.82500000          0.00000000          0.00000000
              11.87500000          0.00000000          0.00000000
              11.92500000          0.00000000          0.00000000
              11.97500000          0.00000000          0.00000000
              12.02500000          0.00000000          0.00000000
              12.07500000          0.00000000          0.00000000
              12.12500000          0.00000000          0.00000000
              12.17500000          0.00000000          0.00000000
              12.22500000          0.00000000          0.00000000
              12.27500000          0.00000000          0.00000000
              12.32500000          0.00000000          0.00000000
              12.37500000          0.00000000          0.00000000
              12.42500000          0.00000000          0.00000000
              12.47500000          0.00000000          0.00000000
              12.52500000          0.00000000          0.00000000
              12.57500000          0.00000000          0.00000000
              12.62500000          0.00000000          0.00000000
              12.67500000          0.00000000          0.00000000
              12.72500000          0.00000000          0.00000000
              12.77500000          0.00000000          0.00000000
              12.82500000          0.00000000          0.00000000
              12.87500000          0.00000000          0.00000000
              12.92500000          0.00000000          0.00000000
              12.97500000          0.00000000          0.00000000
              13.02500000          0.00000000          0.00000000
              13.07500000          0.00000000          0.00000000
              13.12500000          0.00000000          0.00000000
              13.17500000          0.00000000          0.00000000
              13.22500000          0.00000000          0.00000000
              13.27500000          0.00000000          0.00000000
              13.32500000          0.00000000          0.00000000
              13.37500000          0.00000000          0.00000000
              13.42500000          0.00000000          0.00000000
              13.47500000          0.00000000          0.00000000
              13.52500000          0.00000000          0.00000000
              13.57500000          0.00000000          0.00000000
              13.62500000          0.00000000          0.00000000
              13.67500000          0.00000000          0.00000000
              13.72500000          0.00000000          0.00000000
              13.77500000          0.00000000          0.00000000
              13.82500000          0.00000000          0.00000000
              13.87500000          0.00000000          0.00000000
              13.92500000          0.00000000          0.00000000
              13.97500000          0.00000000          0.00000000
              14.02500000          0.00000000          0.00000000
              14.07500000          0.00000000          0.00000000
              14.12500000          0.00000000          0.00000000
              14.17500000          0.00000000          0.00000000
              14.22500000          0.00000000          0.00000000
              14.27500000          0.00000000          0.00000000
              14.32500000          0.00000000          0.00000000
              14.37500000          0.00000000          0.00000000
              14.42500000          0.00000000          0.00000000
              14.47500000          0.00000000          0.00000000
              14.52500000          0.00000000          0.00000000
              14.57500000          0.00000000          0.00000000
              14.62500000          0.00000000          0.00000000
              14.67500000          0.00000000          0.00000000
              14.72500000          0.00000000          0.00000000
              14.77500000          0.00000000          0.00000000
              14.82500000          0.00000000          0.00000000
              14.87500000          0.00000000          0.00000000
              14.92500000          0.00000000          0.00000000
              14.97500000          0.00000000          0.00000000
              15.02500000          0.00000000          0.00000000
              15.07500000          0.00000000          0.00000000
              15.12500000          0.00000000          0.00000000
              15.17500000          0.00000000          0.00000000
              15.22500000          0.00000000          0.00000000
              15.27500000          0.00000000          0.00000000
              15.32500000          0.00000000          0.00000000
              15.37500000          0.00000000          0.00000000
              15.42500000          0.00000000          0.00000000
              15.47500000          0.00000000          0.00000000
              15.52500000          0.00000000          0.00000000
              15.57500000          0.00000000          0.00000000
              15.62500000          0.00000000          0.00000000
              15.67500000          0.00000000          0.00000000
              15.72500000          0.00000000          0.00000000
              15.77500000          0.00000000          0.00000000
              15.82500000          0.00000000          0.00000000
              15.87500000          0.00000000          0.00000000
              15.92500000          0.00000000          0.00000000
              15.97500000          0.00000000          0.00000000
              16.02500000          0.00000000          0.00000000
              16.07500000          0.00000000          0.00000000
              16.12500000          0.00000000          0.00000000
              16.17500000          0.00000000          0.00000000
              16.22500000          0.00000000          0.00000000
              16.27500000          0.00000000          0.00000000
              16.32500000          0.00000000          0.00000000
              16.37500000          0.00000000          0.00000000
              16.42500000          0.00000000          0.00000000
              16.47500000          0.00000000          0.00000000
              16.52500000          0.00000000          0.00000000
              16.57500000          0.00000000          0.00000000
              16.62500000          0.00000000          0.00000000
              16.67500000          0.00000000          0.00000000
              16.72500000          0.00000000          0.00000000
              16.77500000          0.00000000          0.00000000
              16.82500000          0.00000000          0.00000000
              16.87500000          0.00000000          0.00000000
              16.92500000          0.00000000          0.00000000
              16.97500000          0.00000000          0.00000000
              17.02500000          0.00000000          0.00000000
              17.07500000          0.00000000          0.00000000
              17.12500000          0.00000000          0.00000000
              17.17500000          0.00000000          0.00000000
              17.22500000          0.00000000          0.00000000
              17.27500000          0.00000000          0.00000000
              17.32500000          0.00000000          0.00000000
              17.37500000          0.00000000          0.00000000
              17.42500000          0.00000000          0.00000000
              17.47500000          0.00000000          0.00000000
              17.52500000          0.00000000          0.00000000
              17.57500000          0.00000000          0.00000000
              17.62500000          0.00000000          0.00000000
              17.67500000          0.00000000          0.00000000
              17.72500000          0.00000000          0.00000000
              17.77500000          0.00000000          0.00000000
              17.82500000          0.00000000          0.00000000
              17.87500000          0.00000000          0.00000000
              17.92500000          0.00000000          0.00000000
              17.97500000          0.00000000          0.00000000
              18.02500000          0.00000000          0.00000000
              18.07500000          0.00000000          0.00000000
              18.12500000          0.00000000          0.00000000
              18.17500000          0.00000000          0.00000000
              18.22500000          0.00000000          0.00000000
              18.27500000          0.00000000          0.00000000
              18.32500000          0.00000000          0.00000000
              18.37500000          0.00000000          0.00000000
              18.42500000          0.00000000          0.00000000
              18.47500000          0.00000000          0.00000000
              18.52500000          0.00000000          0.00000000
              18.57500000          0.00000000          0.00000000
              18.62500000          0.00000000          0.00000000
              18.67500000          0.00000000          0.00000000
              18.72500000          0.00000000          0.00000000
              18.77500000          0.00000000          0.00000000
              18.82500000          0.00000000          0.00000000
              18.87500000          0.00000000          0.00000000
              18.92500000          0.00000000          0.00000000
              18.97500000          0.00000000          0.00000000
              19.02500000          0.00000000          0.00000000
              19.07500000          0.00000000          0.00000000
              19.12500000          0.00000000          0.00000000
              19.17500000          0.00000000          0.00000000
              19.22500000          0.00000000          0.00000000
              19.27500000          0.00000000          0.00000000
              19.32500000          0.00000000          0.00000000
              19.37500000          0.00000000          0.00000000
              19.42500000          0.00000000          0.00000000
              19.47500000          0.00000000          0.00000000
              19.52500000          0.00000000          0.00000000
              19.57500000          0.00000000          0.00000000
              19.62500000          0.00000000          0.00000000
              19.67500000          0.00000000          0.00000000
              19.72500000          0.00000000          0.00000000
              19.77500000          0.00000000          0.00000000
              19.82500000          0.00000000          0.00000000
              19.87500000          0.00000000          0.00000000
              19.92500000          0.00000000          0.00000000
              19.97500000          0.00000000          0.00000000
              20.02500000          0.00000000          0.00000000
              20.07500000          0.00000000          0.00000000
              20.12500000          0.00000000          0.00000000
              20.17500000          0.00000000          0.00000000
              20.22500000          0.00000000          0.00000000
              20.27500000          0.00000000          0.00000000
              20.32500000          0.00000000          0.00000000
              20.37500000          0.00000000          0.00000000
              20.42500000          0.00000000          0.00000000
              20.47500000          0.00000000          0.00000000
              20.52500000          0.00000000          0.00000000
              20.57500000          0.00000000          0.00000000
              20.62500000          0.00000000          0.00000000
              20.67500000          0.00000000          0.00000000
              20.72500000          0.00000000          0.00000000
              20.77500000          0.00000000          0.00000000
              20.82500000          0.00000000          0.00000000
              20.87500000          0.00000000          0.00000000
              20.92500000          0.00000000          0.00000000
              20.97500000          0.00000000          0.00000000
              21.02500000          0.00000000          0.00000000
              21.07500000          0.00000000          0.00000000
              21.12500000          0.00000000          0.00000000
              21.17500000          0.00000000          0.00000000
              21.22500000          0.00000000          0.00000000
              21.27500000          0.00000000          0.00000000
              21.32500000          0.00000000          0.00000000
              21.37500000          0.00000000          0.00000000
              21.42500000          0.00000000          0.00000000
              21.47500000          0.00000000          0.00000000
              21.52500000          0.00000000          0.00000000
              21.57500000          0.00000000          0.00000000
              21.62500000          0.00000000          0.00000000
              21.67500000          0.00000000          0.00000000
              21.72500000          0.00000000          0.00000000
              21.77500000          0.00000000          0.00000000
              21.82500000          0.00000000          0.00000000
              21.87500000          0.00000000          0.00000000
              21.92500000          0.00000000          0.00000000
              21.97500000          0.00000000          0.00000000
 
 
# t_delta (frames) = 4ps
          # r (Angstrom)        Gs(r,t)_mean         Gs(r,t)_std
               0.02500000          0.71908227          0.05628402
               0.07500000          0.52954749          0.03163134
               0.12500000          0.51845296          0.01805855
               0.17500000          0.48959645          0.01520507
               0.22500000          0.45892354          0.00608416
               0.27500000          0.42810486          0.00936596
               0.32500000          0.39686939          0.00716460
               0.37500000          0.35713428          0.01007812
               0.42500000          0.32044964          0.00577510
               0.47500000          0.28637647          0.00486106
               0.52500000          0.25090579          0.00469935
               0.57500000          0.22037910          0.00374460
               0.62500000          0.19068278          0.00380225
               0.67500000          0.16245174          0.00227589
               0.72500000          0.13884623          0.00221380
               0.77500000          0.11791759          0.00229482
               0.82500000          0.09886199          0.00121583
               0.87500000          0.08312761          0.00080662
               0.92500000          0.06962640          0.00079598
               0.97500000          0.05804388          0.00060947
               1.02500000          0.04886880          0.00063720
               1.07500000          0.04079335          0.00036028
               1.12500000          0.03364044          0.00027121
               1.17500000          0.02815741          0.00042981
               1.22500000          0.02337679          0.00020517
               1.27500000          0.01960698          0.00022601
               1.32500000          0.01659376          0.00037713
               1.37500000          0.01407462          0.00027909
               1.42500000          0.01179499          0.00035007
               1.47500000          0.01011646          0.00017634
               1.52500000          0.00845216          0.00022249
               1.57500000          0.00740209          0.00018526
               1.62500000          0.00624872          0.00015993
               1.67500000          0.00538477          0.00012007
               1.72500000          0.00470648          0.00013901
               1.77500000          0.00406738          0.00014326
               1.82500000          0.00356429          0.00015858
               1.87500000          0.00304239          0.00017686
               1.92500000          0.00271636          0.00015541
               1.97500000          0.00242961          0.00008170
               2.02500000          0.00212699          0.00010391
               2.07500000          0.00187705          0.00008677
               2.12500000          0.00167442          0.00011766
               2.17500000          0.00146042          0.00009247
               2.22500000          0.00127049          0.00006166
               2.27500000          0.00117217          0.00004478
               2.32500000          0.00106308          0.00005618
               2.37500000          0.00094030          0.00007076
               2.42500000          0.00086116          0.00005812
               2.47500000          0.00076991          0.00004659
               2.52500000          0.00066451          0.00004085
               2.57500000          0.00062415          0.00006317
               2.62500000          0.00055739          0.00005402
               2.67500000          0.00050371          0.00001255
               2.72500000          0.00045205          0.00002828
               2.77500000          0.00039449          0.00003342
               2.82500000          0.00036947          0.00004412
               2.87500000          0.00033339          0.00002620
               2.92500000          0.00029680          0.00003294
               2.97500000          0.00027985          0.00002393
               3.02500000          0.00024228          0.00001680
               3.07500000          0.00021418          0.00001570
               3.12500000          0.00019459          0.00002305
               3.17500000          0.00017568          0.00001450
               3.22500000          0.00015944          0.00001500
               3.27500000          0.00014525          0.00001307
               3.32500000          0.00014273          0.00001597
               3.37500000          0.00011905          0.00001481
               3.42500000          0.00010419          0.00001267
               3.47500000          0.00009235          0.00001402
               3.52500000          0.00008158          0.00000542
               3.57500000          0.00007522          0.00000850
               3.62500000          0.00007417          0.00001255
               3.67500000          0.00006416          0.00001000
               3.72500000          0.00005578          0.00000648
               3.77500000          0.00005040          0.00000706
               3.82500000          0.00004695          0.00000784
               3.87500000          0.00004233          0.00000874
               3.92500000          0.00003866          0.00000462
               3.97500000          0.00003564          0.00000564
               4.02500000          0.00003235          0.00000371
               4.07500000          0.00002834          0.00000679
               4.12500000          0.00002340          0.00000238
               4.17500000          0.00002265          0.00000263
               4.22500000          0.00001937          0.00000204
               4.27500000          0.00001812          0.00000287
               4.32500000          0.00001747          0.00000150
               4.37500000          0.00001363          0.00000281
               4.42500000          0.00001156          0.00000261
               4.47500000          0.00001030          0.00000228
               4.52500000          0.00000948          0.00000243
               4.57500000          0.00000858          0.00000128
               4.62500000          0.00000865          0.00000247
               4.67500000          0.00000725          0.00000109
               4.72500000          0.00000709          0.00000080
               4.77500000          0.00000675          0.00000127
               4.82500000          0.00000517          0.00000144
               4.87500000          0.00000507          0.00000090
               4.92500000          0.00000487          0.00000117
               4.97500000          0.00000369          0.00000141
               5.02500000          0.00000380          0.00000110
               5.07500000          0.00000260          0.00000082
               5.12500000          0.00000259          0.00000097
               5.17500000          0.00000300          0.00000127
               5.22500000          0.00000229          0.00000064
               5.27500000          0.00000180          0.00000066
               5.32500000          0.00000181          0.00000038
               5.37500000          0.00000170          0.00000048
               5.42500000          0.00000163          0.00000051
               5.47500000          0.00000153          0.00000036
               5.52500000          0.00000142          0.00000055
               5.57500000          0.00000144          0.00000038
               5.62500000          0.00000081          0.00000062
               5.67500000          0.00000090          0.00000028
               5.72500000          0.00000095          0.00000035
               5.77500000          0.00000054          0.00000014
               5.82500000          0.00000066          0.00000042
               5.87500000          0.00000032          0.00000028
               5.92500000          0.00000070          0.00000057
               5.97500000          0.00000044          0.00000037
               6.02500000          0.00000037          0.00000014
               6.07500000          0.00000036          0.00000023
               6.12500000          0.00000048          0.00000032
               6.17500000          0.00000047          0.00000016
               6.22500000          0.00000026          0.00000012
               6.27500000          0.00000023          0.00000024
               6.32500000          0.00000017          0.00000012
               6.37500000          0.00000027          0.00000022
               6.42500000          0.00000022          0.00000007
               6.47500000          0.00000019          0.00000015
               6.52500000          0.00000026          0.00000019
               6.57500000          0.00000031          0.00000023
               6.62500000          0.00000018          0.00000011
               6.67500000          0.00000003          0.00000006
               6.72500000          0.00000005          0.00000007
               6.77500000          0.00000002          0.00000005
               6.82500000          0.00000002          0.00000005
               6.87500000          0.00000009          0.00000013
               6.92500000          0.00000005          0.00000010
               6.97500000          0.00000014          0.00000005
               7.02500000          0.00000002          0.00000005
               7.07500000          0.00000004          0.00000006
               7.12500000          0.00000002          0.00000005
               7.17500000          0.00000006          0.00000006
               7.22500000          0.00000002          0.00000005
               7.27500000          0.00000002          0.00000005
               7.32500000          0.00000000          0.00000000
               7.37500000          0.00000002          0.00000005
               7.42500000          0.00000004          0.00000006
               7.47500000          0.00000002          0.00000004
               7.52500000          0.00000000          0.00000000
               7.57500000          0.00000002          0.00000004
               7.62500000          0.00000000          0.00000000
               7.67500000          0.00000000          0.00000000
               7.72500000          0.00000000          0.00000000
               7.77500000          0.00000000          0.00000000
               7.82500000          0.00000000          0.00000000
               7.87500000          0.00000000          0.00000000
               7.92500000          0.00000002          0.00000004
               7.97500000          0.00000002          0.00000004
               8.02500000          0.00000000          0.00000000
               8.07500000          0.00000000          0.00000000
               8.12500000          0.00000000          0.00000000
               8.17500000          0.00000000          0.00000000
               8.22500000          0.00000000          0.00000000
               8.27500000          0.00000000          0.00000000
               8.32500000          0.00000000          0.00000000
               8.37500000          0.00000000          0.00000000
               8.42500000          0.00000000          0.00000000
               8.47500000          0.00000000          0.00000000
               8.52500000          0.00000000          0.00000000
               8.57500000          0.00000000          0.00000000
               8.62500000          0.00000000          0.00000000
               8.67500000          0.00000000          0.00000000
               8.72500000          0.00000000          0.00000000
               8.77500000          0.00000000          0.00000000
               8.82500000          0.00000000          0.00000000
               8.87500000          0.00000000          0.00000000
               8.92500000          0.00000000          0.00000000
               8.97500000          0.00000000          0.00000000
               9.02500000          0.00000000          0.00000000
               9.07500000          0.00000000          0.00000000
               9.12500000          0.00000000          0.00000000
               9.17500000          0.00000000          0.00000000
               9.22500000          0.00000001          0.00000003
               9.27500000          0.00000001          0.00000003
               9.32500000          0.00000000          0.00000000
               9.37500000          0.00000000          0.00000000
               9.42500000          0.00000000          0.00000000
               9.47500000          0.00000000          0.00000000
               9.52500000          0.00000000          0.00000000
               9.57500000          0.00000000          0.00000000
               9.62500000          0.00000000          0.00000000
               9.67500000          0.00000000          0.00000000
               9.72500000          0.00000000          0.00000000
               9.77500000          0.00000000          0.00000000
               9.82500000          0.00000000          0.00000000
               9.87500000          0.00000000          0.00000000
               9.92500000          0.00000000          0.00000000
               9.97500000          0.00000000          0.00000000
              10.02500000          0.00000000          0.00000000
              10.07500000          0.00000000          0.00000000
              10.12500000          0.00000000          0.00000000
              10.17500000          0.00000000          0.00000000
              10.22500000          0.00000000          0.00000000
              10.27500000          0.00000000          0.00000000
              10.32500000          0.00000000          0.00000000
              10.37500000          0.00000000          0.00000000
              10.42500000          0.00000000          0.00000000
              10.47500000          0.00000000          0.00000000
              10.52500000          0.00000000          0.00000000
              10.57500000          0.00000000          0.00000000
              10.62500000          0.00000000          0.00000000
              10.67500000          0.00000000          0.00000000
              10.72500000          0.00000000          0.00000000
              10.77500000          0.00000000          0.00000000
              10.82500000          0.00000000          0.00000000
              10.87500000          0.00000000          0.00000000
              10.92500000          0.00000000          0.00000000
              10.97500000          0.00000000          0.00000000
              11.02500000          0.00000000          0.00000000
              11.07500000          0.00000000          0.00000000
              11.12500000          0.00000000          0.00000000
              11.17500000          0.00000000          0.00000000
              11.22500000          0.00000000          0.00000000
              11.27500000          0.00000000          0.00000000
              11.32500000          0.00000000          0.00000000
              11.37500000          0.00000000          0.00000000
              11.42500000          0.00000000          0.00000000
              11.47500000          0.00000000          0.00000000
              11.52500000          0.00000000          0.00000000
              11.57500000          0.00000000          0.00000000
              11.62500000          0.00000000          0.00000000
              11.67500000          0.00000000          0.00000000
              11.72500000          0.00000000          0.00000000
              11.77500000          0.00000000          0.00000000
              11.82500000          0.00000000          0.00000000
              11.87500000          0.00000000          0.00000000
              11.92500000          0.00000000          0.00000000
              11.97500000          0.00000000          0.00000000
              12.02500000          0.00000000          0.00000000
